Date,Predicted_Positive,Predicted_Negative
2024-06-27,473.9512069495675,176.12231219910993
2024-06-28,435.5584106398427,139.74743947577488
2024-06-29,450.304392761147,117.27870142414807
2024-06-30,494.5201243809345,133.24184703326452
2024-07-01,559.8937133681221,99.71186469161104
2024-07-02,485.98887392909205,75.11037919397592
2024-07-03,455.97826623847874,61.45875388268931
2024-07-04,450.4380502587578,46.638176386413136
2024-07-05,482.2721382343303,75.67282938867046
2024-07-06,438.2859355763867,85.3082123043244
2024-07-07,410.61583986482333,77.06079412017992
2024-07-08,423.66325321223974,88.67349129377376
2024-07-09,413.6310877614977,76.2909538150133
2024-07-10,385.93524511934146,58.44505105799158
2024-07-11,409.9548962331288,52.21424312200301
2024-07-12,472.3289007833235,80.88048247784754
2024-07-13,527.876422932242,57.96442565646922
2024-07-14,465.08817384983587,41.75542879596933
2024-07-15,441.0050401140995,34.71360121080175
2024-07-16,439.89932670834526,24.981231141794993
2024-07-17,464.8755937967286,57.75964514732642
2024-07-18,421.1145778950369,70.61863095265247
2024-07-19,407.5996557354304,65.14437341113131
2024-07-20,419.80492522817235,78.69605442492131
2024-07-21,405.5446855486231,67.79293854374342
2024-07-22,377.1211749910589,51.099832973509706
2024-07-23,400.5133019792794,45.77154365154863
2024-07-24,461.50694292361965,75.15132990473175
2024-07-25,518.001669480327,52.79598869222502
2024-07-26,454.4083311763516,37.029872567535534
2024-07-27,429.94962838818833,30.337986426395233
2024-07-28,428.59033421638,20.882716672644897
2024-07-29,454.25315255474595,53.88141317246547
2024-07-30,410.58594608891053,66.91305773699605
2024-07-31,396.0009883705476,61.574039997941554
